jyocd+alevelcount,10_1,2595
jyocd+alevelcount,10_2,5088
jyocd+alevelcount,10_3,7535
jyocd+alevelcount,10_4,3495
jyocd+alevelcount,10_5,1369
jyocd+alevelcount,10_6,720
jyocd+alevelcount,11_0,992
jyocd+alevelcount,11_1,2143
jyocd+alevelcount,11_2,4633
jyocd+alevelcount,11_3,6167
jyocd+alevelcount,11_4,3489
jyocd+alevelcount,11_5,1321
jyocd+alevelcount,11_6,673
jyocd+alevelcount,12_0,1234
jyocd+alevelcount,12_1,2262
jyocd+alevelcount,12_2,5043
jyocd+alevelcount,12_3,5141
jyocd+alevelcount,12_4,3299
jyocd+alevelcount,12_5,1861
jyocd+alevelcount,12_6,1335
jyocd+alevelcount,13_0,1640
jyocd+alevelcount,13_1,2287
jyocd+alevelcount,13_2,4553
jyocd+alevelcount,13_3,5764
jyocd+alevelcount,13_4,3735
jyocd+alevelcount,13_5,1590
jyocd+alevelcount,13_6,1464
jyocd+alevelcount,14_0,896
jyocd+alevelcount,14_1,3096
jyocd+alevelcount,14_2,3390
jyocd+alevelcount,14_3,4506
jyocd+alevelcount,14_4,2527
jyocd+alevelcount,14_5,1330
jyocd+alevelcount,14_6,951
jyocd+alevelcount,15_0,1730
jyocd+alevelcount,15_1,2496
jyocd+alevelcount,15_2,2469
jyocd+alevelcount,15_3,8646
jyocd+alevelcount,15_4,3951
jyocd+alevelcount,15_5,1802
jyocd+alevelcount,15_6,877
jyocd+alevelcount,16_0,1635
jyocd+alevelcount,16_1,3124
jyocd+alevelcount,16_2,3611
jyocd+alevelcount,16_3,5962
jyocd+alevelcount,16_4,4964
jyocd+alevelcount,16_5,1783
jyocd+alevelcount,16_6,862
jyocd+alevelcount,17_0,1841
jyocd+alevelcount,17_1,2723
jyocd+alevelcount,17_2,4510
jyocd+alevelcount,17_3,6170
jyocd+alevelcount,17_4,2685
jyocd+alevelcount,17_5,1219
jyocd+alevelcount,17_6,1553
jyocd+alevelcount,18_0,772
jyocd+alevelcount,18_1,2831
jyocd+alevelcount,18_2,3204
jyocd+alevelcount,18_3,9123
jyocd+alevelcount,18_4,2657
jyocd+alevelcount,18_5,1624
jyocd+alevelcount,18_6,797
jyocd+alevelcount,19_0,1471
jyocd+alevelcount,19_1,2994
jyocd+alevelcount,19_2,4407
jyocd+alevelcount,19_3,5559
jyocd+alevelcount,19_4,3872
jyocd+alevelcount,19_5,1387
jyocd+alevelcount,19_6,1197
jyocd+alevelcount,20_0,1952
jyocd+alevelcount,20_1,3259
jyocd+alevelcount,20_2,3089
jyocd+alevelcount,20_3,5905
jyocd+alevelcount,20_4,5798
jyocd+alevelcount,20_5,1076
jyocd+alevelcount,20_6,1130
jyocd+alevelcount,21_0,1617
jyocd+alevelcount,21_1,2900
jyocd+alevelcount,21_2,5161
jyocd+alevelcount,21_3,5028
jyocd+alevelcount,21_4,3793
jyocd+alevelcount,21_5,2081
jyocd+alevelcount,21_6,1369
jyocd+alevelcount,22_0,494
jyocd+alevelcount,22_1,4657
jyocd+alevelcount,22_2,4449
jyocd+alevelcount,22_3,5094
jyocd+alevelcount,22_4,4821
jyocd+alevelcount,22_5,1561
jyocd+alevelcount,22_6,777
jyocd+alevelcount,23_0,1231
jyocd+alevelcount,23_1,4294
jyocd+alevelcount,23_2,4453
jyocd+alevelcount,23_3,4667
jyocd+alevelcount,23_4,4018
jyocd+alevelcount,23_5,1963
jyocd+alevelcount,23_6,955
jyocd+alevelcount,24_0,1479
jyocd+alevelcount,24_1,3100
jyocd+alevelcount,24_2,5597
jyocd+alevelcount,24_3,4936
jyocd+alevelcount,24_4,2794
jyocd+alevelcount,24_5,1676
jyocd+alevelcount,24_6,1570
jyocd+level1,01_A1,6166
jyocd+level1,01_A2,6014
jyocd+level1,01_B1,8857
jyocd+level1,01_B2,577
jyocd+level1,02_A1,5099
jyocd+level1,02_A2,5689
jyocd+level1,02_B1,10198
jyocd+level1,02_B2,635
jyocd+level1,03_A1,3554
jyocd+level1,03_A2,4675
jyocd+level1,03_B1,9722
jyocd+level1,03_B2,755
jyocd+level1,04_A1,5027
jyocd+level1,04_A2,5244
jyocd+level1,04_B1,10005
