no	pattern_name	attributes	algorithm	id	plus_month_rate	plus_days_rate	description	bettype	bet_kumiban	pattern	ranktype	waku	betcnt	hitcnt	betamt	hitamt	incomeamt	hitrate	incomerate	daily_betamt	daily_hitamt	daily_incomeamt	avg_hitamt	dev_hitamt	max_hitamt	total_month	total_days
7	turn+level1	entry	bayes	b_e_turn+level	0.58	0.29	0013	2T	12	7_B1	norm2t_3	4	296	75	29600	35230	5630	0.25	1.19	40	48	8	462	177	990	24	225
7	turn+level1	entry	bayes	b_e_turn+level	0.41	0.24	0013	2T	15	1_B1	norm2t_3	2	67	15	6700	12500	5800	0.22	1.87	9	17	8	833	472	2030	22	62
7	turn+level1	entry	bayes	b_e_turn+level	0.38	0.35	0013	2T	21	5_B1	norm2t_3	1	18	7	1800	6560	4760	0.39	3.64	2	8	6	881	509	1640	13	17
7	turn+level1	entry	bayes	b_e_turn+level	0.39	0.25	0013	2T	3=	2_B1	form2t2_23	12	98	12	9800	22770	12970	0.12	2.32	13	31	18	1898	1268	3600	23	48
7	turn+level1	entry	bayes	b_e_turn+level	0.62	0.47	0013	2T	31	2_A2	norm2t_3	2	17	8	1700	3520	1820	0.47	2.07	2	4	2	440	142	660	13	17
7	turn+level1	entry	bayes	b_e_turn+level	0.42	0.20	0013	3F	136	1_B1	norm3f_123	136	155	28	15500	27100	11600	0.18	1.75	21	37	16	952	830	4400	24	140
7	turn+level1	entry	bayes	b_e_turn+level	0.58	0.45	0013	1T	1	1_B1	norm1t_23	24	344	149	34400	37730	3330	0.43	1.10	47	51	4	247	156	1030	24	260
7	turn+level1	entry	bayes	b_e_turn+level	0.46	0.47	0013	1T	1	1_B1	norm1t_23	44	145	67	14500	15790	1290	0.46	1.09	19	21	2	237	100	510	24	118
7	turn+level1	entry	bayes	b_e_turn+level	0.55	0.49	0013	1T	1	1_B1	norm1t_23	64	45	24	4500	6460	1960	0.53	1.44	6	8	2	268	168	770	20	41
7	turn+level1	entry	bayes	b_e_turn+level	0.46	0.57	0013	1T	1	3_A2	norm1t_23	23	544	333	54400	57850	3450	0.61	1.06	74	79	5	170	78	840	24	350
7	turn+level1	entry	bayes	b_e_turn+level	0.59	0.64	0013	1T	1	3_A2	norm1t_23	63	46	30	4600	5430	830	0.65	1.18	6	7	1	179	64	330	22	44
7	turn+level1	entry	bayes	b_e_turn+level	0.71	0.75	0013	1T	1	3_A2	norm1t_23	64	24	18	2400	3290	890	0.75	1.37	3	4	1	178	74	350	14	24
7	turn+level1	entry	bayes	b_e_turn+level	0.57	0.61	0013	1T	1	3_B1	norm1t_23	21	55	33	5500	8770	3270	0.60	1.59	7	12	5	247	124	720	23	54
7	turn+level1	entry	bayes	b_e_turn+level	0.58	0.47	0013	1T	1	3_B1	norm1t_23	23	361	161	36100	40360	4260	0.45	1.12	49	55	6	254	163	1230	24	270
7	turn+level1	entry	bayes	b_e_turn+level	0.46	0.47	0013	1T	1	3_B1	norm1t_23	33	166	80	16600	19660	3060	0.48	1.18	22	26	4	243	159	1080	24	135
7	turn+level1	entry	bayes	b_e_turn+level	0.54	0.47	0013	1T	1	3_B1	norm1t_23	34	231	109	23100	26080	2980	0.47	1.13	31	35	4	238	123	870	24	186
7	turn+level1	entry	bayes	b_e_turn+level	0.54	0.45	0013	1T	1	3_B1	norm1t_23	36	167	79	16700	18790	2090	0.47	1.13	22	25	3	234	120	780	24	137
7	turn+level1	entry	bayes	b_e_turn+level	0.63	0.48	0013	1T	1	3_B1	norm1t_23	45	93	45	9300	12150	2850	0.48	1.31	12	16	4	261	125	720	24	85
7	turn+level1	entry	bayes	b_e_turn+level	0.58	0.45	0013	1T	1	3_B1	norm1t_23	55	73	34	7300	9870	2570	0.47	1.35	10	13	3	282	158	850	24	66
7	turn+level1	entry	bayes	b_e_turn+level	0.59	0.53	0013	1T	1	3_B1	norm1t_23	56	63	32	6300	7920	1620	0.51	1.26	8	10	2	234	109	500	22	58
7	turn+level1	entry	bayes	b_e_turn+level	0.71	0.75	0013	1T	1	3_B2	norm1t_23	32	8	6	800	2040	1240	0.75	2.55	1	2	1	299	114	460	7	8
7	turn+level1	entry	bayes	b_e_turn+level	0.71	0.45	0013	1T	1	4_B1	norm1t_23	45	95	40	9500	11410	1910	0.42	1.20	13	15	2	288	152	630	24	85
7	turn+level1	entry	bayes	b_e_turn+level	0.59	0.60	0013	1T	1	5_B1	norm1t_23	15	56	34	5600	8330	2730	0.61	1.49	7	11	4	232	110	510	22	53
7	turn+level1	entry	bayes	b_e_turn+level	0.63	0.70	0013	1T	1	7_A2	norm1t_23	43	219	158	21900	23570	1670	0.72	1.08	30	32	2	149	47	370	24	178
7	turn+level1	entry	bayes	b_e_turn+level	0.63	0.53	0013	1T	1	7_B1	norm1t_23	36	120	63	12000	13780	1780	0.53	1.15	16	18	2	215	113	600	24	107
7	turn+level1	entry	bayes	b_e_turn+level	0.80	0.75	0013	1T	1	7_B1	norm1t_23	51	16	12	1600	2500	900	0.75	1.56	2	3	1	208	79	350	10	16
7	turn+level1	entry	bayes	b_e_turn+level	0.53	0.45	0013	1T	2	1_B1	norm1t_23	66	34	15	3400	5020	1620	0.44	1.48	4	6	2	323	130	590	15	33
7	turn+level1	entry	bayes	b_e_turn+level	0.48	0.40	0013	1T	2	3_B1	norm1t_23	14	88	35	8800	14170	5370	0.40	1.61	12	19	7	394	350	1550	23	80
7	turn+level1	entry	bayes	b_e_turn+level	0.57	0.51	0013	1T	2	3_B1	norm1t_23	24	78	42	7800	11060	3260	0.54	1.42	10	15	5	274	188	1110	23	72
7	turn+level1	entry	bayes	b_e_turn+level	0.42	0.42	0013	1T	2	4_B1	norm1t_23	33	37	16	3700	5750	2050	0.43	1.55	5	7	2	352	216	810	19	36
7	turn+level1	entry	bayes	b_e_turn+level	0.77	0.71	0013	1T	3	2_A2	norm1t_23	12	17	12	1700	2630	930	0.71	1.55	2	3	1	219	69	330	13	17
7	turn+level1	entry	bayes	b_e_turn+level	0.54	0.22	0013	2F	24	3_B1	norm2f_12	24	136	27	13600	16900	3300	0.20	1.24	18	23	5	634	307	1220	24	117
7	turn+level1	entry	bayes	b_e_turn+level	0.44	0.30	0013	2T	3=	1_B1	form2t2_23	26	54	8	5400	15340	9940	0.15	2.84	7	21	14	2117	927	3710	18	27
7	turn+level1	entry	bayes	b_e_turn+level	0.42	0.20	0013	3F	136	1_B1	norm3f_12	13	155	28	15500	27100	11600	0.18	1.75	21	37	16	952	830	4400	24	140
12	nopattern	ranknationrate	bayes	b_r_nopattern	0.72	0.76	0015	1T	1	nopattern	norm1t_23	63	37	28	3700	4640	940	0.76	1.25	5	6	1	164	57	330	18	37
14	turn	ranknationrate	bayes	b_r_turn	0.58	0.60	0016	1T	1	4	norm1t_23	45	290	180	29000	31900	2900	0.62	1.10	39	43	4	178	105	710	24	210
14	turn	ranknationrate	bayes	b_r_turn	0.33	0.27	0016	2T	23	3	norm2t_3	4	32	8	3200	7080	3880	0.25	2.21	4	9	5	885	217	1230	18	30
14	turn	ranknationrate	bayes	b_r_turn	0.67	0.54	0016	1T	1	1	norm1t_23	66	281	151	28100	35060	6960	0.54	1.25	38	48	10	229	199	2290	24	205
14	turn	ranknationrate	bayes	b_r_turn	0.57	0.50	0016	2F	12	5	norm2f_12	21	19	9	1900	4730	2830	0.47	2.49	2	6	4	526	250	940	14	18
14	turn	ranknationrate	bayes	b_r_turn	0.58	0.39	0016	2F	23	1	norm2f_12	32	30	11	3000	7330	4330	0.37	2.44	4	10	6	636	411	1720	12	28
16	turn+alevelcnt	ranknationrate	bayes	b_r_turn+aleve	0.29	0.21	0017	3F	126	4_6	norm3f_12	12	42	8	4200	9350	5150	0.19	2.23	5	12	7	1169	569	1890	21	39
