ymd	sime	jyocd	raceno	description	pattern	bettype	predict_rank123	result_rank123	bet_kumiban	bet_odds	bet_oddsrank	result_kumiban	result_odds	result_oddsrank	result_amt	hity	hitn	betamt	hitamt
20181204	1307	22	6	0013	1_B1	1T	151	213	1	0.00	0	2	3.59	0	360	0	1	100	0
20181204	1330	18	10	0013	1_B1	1T	126	132	1	0.00	0	1	3.40	0	340	1	0	100	340
20181205	1519	01	1	0013	1_B1	1T	132	124	1	0.00	0	1	1.20	0	120	1	0	100	120
20181205	1545	01	2	0013	1_B1	1T	114	341	1	0.00	0	3	3.09	0	310	0	1	100	0
20181205	1548	20	2	0013	1_B1	1T	132	135	1	0.00	0	1	1.00	0	100	1	0	100	100
20181205	1611	01	3	0013	1_B1	1T	115	346	1	0.00	0	3	1.70	0	170	0	1	100	0
20181205	1646	20	4	0013	1_B1	1T	115	536	1	0.00	0	5	2.09	0	210	0	1	100	0
20181205	1801	01	7	0013	1_B1	1T	112	451	1	0.00	0	4	6.80	0	680	0	1	100	0
20181207	1048	08	1	0013	1_B1	1T	133	526	1	0.00	0	5	22.50	0	2250	0	1	100	0
20181206	1059	13	2	0013	1_B1	1T	141	416	1	0.00	0	4	6.00	0	600	0	1	100	0
20181206	1124	13	3	0013	1_B1	1T	125	345	1	0.00	0	3	6.40	0	640	0	1	100	0
20181206	1348	13	8	0013	1_B1	1T	143	135	1	0.00	0	1	2.90	0	290	1	0	100	290
20181207	1105	11	2	0013	1_B1	1T	132	516	1	0.00	0	5	3.59	0	360	0	1	100	0
20181207	1114	08	2	0013	1_B1	1T	124	145	1	0.00	0	1	1.50	0	150	1	0	100	150
20181207	1140	08	3	0013	1_B1	1T	126	126	1	0.00	0	1	2.00	0	200	1	0	100	200
20181207	1151	04	3	0013	1_B1	1T	164	162	1	0.00	0	1	4.40	0	440	1	0	100	440
20181207	1155	21	7	0013	1_B1	1T	142	134	1	0.00	0	1	1.79	0	180	1	0	100	180
20181207	1159	11	4	0013	1_B1	1T	163	124	1	0.00	0	1	2.20	0	220	1	0	100	220
20181207	1217	04	4	0013	1_B1	1T	112	654	1	0.00	0	6	7.40	0	740	0	1	100	0
20181207	1259	21	9	0013	1_B1	1T	132	146	1	0.00	0	1	1.50	0	150	1	0	100	150
20181207	1330	08	7	0013	1_B1	1T	126	613	1	0.00	0	6	1.60	0	160	0	1	100	0
20181207	1359	08	8	0013	1_B1	1T	126	463	1	0.00	0	4	3.09	0	310	0	1	100	0
20181207	1124	21	6	0013	1_B1	1T	166	462	1	0.00	0	4	6.30	0	630	0	1	100	0
20181207	1432	11	9	0013	1_B1	1T	121	531	1	0.00	0	5	12.30	0	1230	0	1	100	0
20181207	1505	11	10	0013	1_B1	1T	144	241	1	0.00	0	2	3.90	0	390	0	1	100	0
20181207	1126	04	2	0013	1_B1	1T	152	153	1	0.00	0	1	3.40	0	340	1	0	100	340
20181207	1132	11	3	0013	1_B1	1T	144	146	1	0.00	0	1	1.50	0	150	1	0	100	150
20181208	1059	09	2	0013	1_B1	1T	122	124	1	0.00	0	1	1.00	0	100	1	0	100	100
20181209	1124	03	2	0013	1_B1	1T	123	134	1	0.00	0	1	1.60	0	160	1	0	100	160
20181208	1126	09	3	0013	1_B1	1T	111	132	1	0.00	0	1	3.09	0	310	1	0	100	310
20181208	1154	09	4	0013	1_B1	1T	155	453	1	0.00	0	4	9.30	0	930	0	1	100	0
20181208	1353	09	8	0013	1_B1	1T	121	245	1	0.00	0	2	1.39	0	140	0	1	100	0
20181209	1309	03	6	0013	1_B1	1T	134	134	1	0.00	0	1	1.50	0	150	1	0	100	150
