02	1551	5	15	26	9	3140	34.62	120.77	540	0.01
02	1551	7	12	28	8	4590	28.57	163.93	1790	0.01
02	1616	3	16	15	9	3300	60.00	220.00	1800	0.01
02	1616	8	16	14	8	2450	57.14	175.00	1050	0.01
02	2121	1	23	37	8	7230	21.62	195.41	3530	0.01
02	2121	4	23	50	8	7030	16.00	140.60	2030	0.02
02	2121	8	12	34	17	4060	50.00	119.41	660	0.01
02	2125	6	12	21	8	2350	38.10	111.90	250	0.01
02	2323	6	12	25	9	5570	36.00	222.80	3070	0.01
02	2323	8	23	24	13	3200	54.17	133.33	800	0.01
02	2424	1	12	34	9	4590	26.47	135.00	1190	0.01
02	2424	2	12	42	9	4530	21.43	107.86	330	0.02
02	2424	4	12	48	10	8210	20.83	171.04	3410	0.02
02	2424	6	12	49	11	6160	22.45	125.71	1260	0.02
02	2424	7	12	48	11	5230	22.92	108.96	430	0.02
02	2424	9	24	36	13	3910	36.11	108.61	310	0.01
02	3131	1	13	45	14	4530	31.11	100.67	30	0.02
02	3131	6	13	54	21	5600	38.89	103.70	200	0.02
02	3131	9	13	33	13	3500	39.39	106.06	200	0.01
02	3232	6	23	20	8	2170	40.00	108.50	170	0.01
02	4141	1	45	88	18	14400	20.45	163.64	5600	0.03
02	4141	1	46	88	13	17420	14.77	197.95	8620	0.03
02	4141	3	24	80	10	9640	12.50	120.50	1640	0.03
02	4141	3	45	80	10	8090	12.50	101.13	90	0.03
02	4141	3	46	80	8	9080	10.00	113.50	1080	0.03
02	4141	6	14	68	25	8070	36.76	118.68	1270	0.03
02	4141	7	24	67	9	10450	13.43	155.97	3750	0.03
02	4141	7	45	67	10	15740	14.93	234.93	9040	0.03
02	4242	2	34	36	8	7810	22.22	216.94	4210	0.01
02	4242	4	45	43	9	8690	20.93	202.09	4390	0.02
02	4242	5	12	50	9	5710	18.00	114.20	710	0.02
02	4242	6	14	44	8	6280	18.18	142.73	1880	0.02
03	1212	1	14	134	20	13560	14.93	101.19	160	0.05
03	1212	1	16	134	12	19030	8.96	142.01	5630	0.05
03	1212	1	24	134	12	17000	8.96	126.87	3600	0.05
03	1212	2	15	114	15	15570	13.16	136.58	4170	0.04
03	1212	2	16	114	8	17780	7.02	155.96	6380	0.04
03	1212	3	14	116	21	16880	18.10	145.52	5280	0.05
03	1212	4	12	110	52	12010	47.27	109.18	1010	0.04
03	1212	4	14	110	15	11790	13.64	107.18	790	0.04
03	1212	6	13	87	15	14190	17.24	163.10	5490	0.03
03	1212	7	14	103	12	12580	11.65	122.14	2280	0.04
03	1212	7	15	103	9	12460	8.74	120.97	2160	0.04
03	1212	9	26	88	8	9030	9.09	102.61	230	0.03
03	1214	6	12	13	8	1660	61.54	127.69	360	0.01
